[2026-01-19 18:52:34,699] 29 root - INFO - Entered the data ingestion method or component
[2026-01-19 18:52:36,435] 33 root - INFO - Read the dataset as dataframe
[2026-01-19 18:52:36,523] 65 root - INFO - Train test split initiated
[2026-01-19 18:52:36,590] 72 root - INFO - Data Ingestion Completed
[2026-01-19 18:52:36,663] 104 root - INFO - Read train and test set complete
[2026-01-19 18:52:36,664] 105 root - INFO - Obtaining preprocessor  object
[2026-01-19 18:52:36,664] 78 root - INFO - Missing values imputed completed
[2026-01-19 18:52:36,664] 79 root - INFO - Numerical columns enocded completed
[2026-01-19 18:52:36,664] 80 root - INFO - Categorical columns enocded completed
[2026-01-19 18:52:36,665] 124 root - INFO - Applying preprocessing object on tarining and testing dataframe
[2026-01-19 18:52:36,768] 136 root - INFO - Saved preprocessing object
[2026-01-19 18:52:36,779] 33 root - INFO - Splitting training and testing input data
